"siteID","peri_stoich","ses_stoich","CF_biomass","CG_biomass","HB_biomass","CG_stoich","HB_stoich","CF_stoich","scenario.x","HB.x","CF.x","CG.x","scenario.y","HB.y","CF.y","CG.y","scenario.x.x","HB.x.x","CF.x.x","CG.x.x","scenario.y.y","HB.y.y","CF.y.y","CG.y.y"
"ARIK","x","x",,,,"x","x","",,,,,,,,,3,"x","x","x",4,"x",,"x"
"BIGC","x",,"x","x","x","x","x","",1,"x",,,2,"x",,,3,"x",,,4,"x",,"x"
"BLDE","x",,"x","x","x","x","x","",1,"x",,,2,"x",,,3,"x",,,4,"x",,"x"
"BLUE","x","x","x","x","x","x","x","",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x",,"x"
"BLWA","x","x","x","x","x","x","","",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,,,"x"
"CARI","x","x","x","x","x","x","x","x",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x","x","x"
"COMO","x","x","x","x","x","","x","",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,,,"x"
"CUPE","x","x","x","x","x","x","x","",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x",,"x"
"FLNT","x","x","x","x","x","x","","",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,,,"x"
"GUIL","x","x","x","x","x","x","x","x",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x","x","x"
"HOPB","x","x","x","x","x","x","x","x",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x","x","x"
"KING","x","x","x","x","x","","x","x",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x","x",
"LECO","x","x","x","x","x","x","x","",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x",,"x"
"LEWI","x","x","x","x","x","x","","",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,,,"x"
"MART","x",,"x","x","x","x","","",1,"x",,,2,"x",,,3,"x",,,4,"x",,"x"
"MAYF","x","x",,,,"x","x","x",,,,,,,,,3,"x","x","x",4,,"x","x"
"MCDI","x","x","x","x","x","x","x","x",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x","x","x"
"MCRA","x","x","x","x","x","x","x","",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x",,"x"
"OKSR","x","x","x","x","x","x","x","",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x","x","x"
"POSE","x","x","x","x","x","x","x","x",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x","x","x"
"PRIN","x","x","x","x","x",,,,1,"x","x","x",2,"x","x","x",3,"x","x","x",,,,
"REDB","x","x","x","x","x","x","","",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,,,"x"
"SYCA","x","x","x","x","x","x","","",1,,"x","x",2,,"x","x",3,"x","x","x",4,,,"x"
"TECR","x",,"x","x","x","x","x","x",1,"x",,,2,"x",,,3,"x",,,4,"x","x","x"
"TOMB","x","x","x","x","x","x","","",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,,,"x"
"WALK","x","x","x","x","x","","x","x",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x","x","x"
"WLOU","x","x","x","x","x","x","","",1,"x","x","x",2,"x","x","x",3,"x","x","x",4,"x",,"x"
